Rank in 2020,Institution Name,Country,Overall Score
1,Massachusetts Institute of Technology (MIT),United States,100
2,Stanford University,United States,98.4
3,Harvard University,United States,97.4
4,University of Oxford,United Kingdom,97.2
5,California Institute of Technology (Caltech),United States,96.9
6,ETH Zurich (Swiss Federal Institute of Technology),Switzerland,95.9
7,University of Cambridge,United Kingdom,95
8,UCL (University College London),United Kingdom,94.8
9,Imperial College London,United Kingdom,94.1
10,University of Chicago,United States,92
11,Nanyang Technological University (NTU),Singapore,91.8
11,National University of Singapore (NUS),Singapore,91.8
13,Princeton University,United States,90.9
14,Cornell University,United States,89.3
15,University of Pennsylvania,United States,88.9
16,Tsinghua University,China,88.6
17,Yale University,United States,87.7
18,Columbia University,United States,87.4
18,Ecole Polytechnique FÈdÈrale de Lausanne (EPFL),Switzerland,87.4
20,University of Edinburgh,United Kingdom,86.2
21,University of Michigan,United States,86
22,Peking University,China,84.3
22,The University of Tokyo,Japan,84.3
24,Johns Hopkins University,United States,83.9
25,Duke University,United States,83.8
25,University of Hong Kong (HKU),Hong Kong,83.8
27,The University of Manchester,United Kingdom,82.7
28,"University of California, Berkeley (UCB)",United States,82.6
29,Australian National University (ANU),Australia,82.1
29,University of Toronto,Canada,82.1
31,Northwestern University,United States,81.5
32,The Hong Kong University of Science and Technology (HKUST),Hong Kong,80.6
33,King's College London (KCL),United Kingdom,80.5
33,Kyoto University,Japan,80.5
35,McGill University,Canada,80.4
35,"University of California, Los Angeles (UCLA)",United States,80.4
37,Seoul National University (SNU),South Korea,79.6
38,The University of Melbourne,Australia,79.5
39,New York University (NYU),United States,78.8
40,Fudan University,China,78.6
41,KAIST - Korea Advanced Institute of Science and Technology,South Korea,77.9
42,The University of Sydney,Australia,77.8
43,The University of New South Wales (UNSW),Australia,77.1
44,London School of Economics and Political Science (LSE),United Kingdom,77
45,"University of California, San Diego (UCSD)",United States,76.6
46,The Chinese University of Hong Kong (CUHK),Hong Kong,75.9
47,The University of Queensland (UQ),Australia,75.7
48,Carnegie Mellon University,United States,74.8
49,University of Bristol,United Kingdom,74.5
50,Delft University of Technology,Netherlands,74.2
51,University of British Columbia,Canada,74.1
52,City University of Hong Kong,Hong Kong,73.6
53,UniversitÈ PSL (Paris Sciences & Lettres),France,73.4
54,Zhejiang University,China,72.4
55,Technische Universit‰t M¸nchen,Germany,72.3
56,University of Wisconsin-Madison,United States,71.8
57,Brown University,United States,71.5
58,Monash University,Australia,70.9
58,Tokyo Institute of Technology,Japan,70.9
60,Ecole Polytechnique,France,70.5
60,Shanghai Jiao Tong University,China,70.5
62,The University of Warwick,United Kingdom,70.4
63,Ludwig-Maximilians-Universit‰t M¸nchen,Germany,69.6
64,University of Amsterdam,Netherlands,69
65,University of Texas at Austin,United States,68.6
66,Ruprecht-Karls-Universit‰t Heidelberg,Germany,68.4
67,University of Glasgow,United Kingdom,68.2
68,University of Washington,United States,67.9
69,National Taiwan University (NTU),Taiwan,67.3
70,Universiti Malaya (UM),Malaysia,67.1
71,Osaka University,Japan,66.5
72,Georgia Institute of Technology (Georgia Tech),United States,66.2
73,Universidad de Buenos Aires,Argentina,66
74,University of Illinois at Urbana-Champaign,United States,65.9
75,University of Zurich,Switzerland,65.8
76,Sorbonne University,France,64.9
77,Durham University,United Kingdom,64.2
77,The University of Sheffield,United Kingdom,64.2
79,Katholieke Universiteit Leuven,Belgium,64.1
80,University of Birmingham,United Kingdom,64
81,University of Copenhagen,Denmark,63.8
82,Tohoku University,Japan,63.7
83,Korea University,South Korea,63.4
83,The University of Auckland,New Zealand,63.4
85,Lomonosov Moscow State University,Russia,63.2
86,Rice University,United States,63.1
87,The University of Western Australia (UWA),Australia,62.9
88,Pohang University of Science and Technology (POSTECH),South Korea,62.6
89,University of Science and Technology of China,China,62.3
90,"University of North Carolina, Chapel Hill",United States,62.2
91,The Hong Kong Polytechnic University,Hong Kong,61.9
92,Lund University,Sweden,61.8
93,Pennsylvania State University,United States,61.7
93,University of Leeds,United Kingdom,61.7
95,Sungkyunkwan University,South Korea,61
96,The University of Nottingham,United Kingdom,60.8
97,University of Southampton,United Kingdom,60.6
98,Boston University,United States,60.5
98,"KTH, Royal Institute of Technology",Sweden,60.5
100,University of St Andrews,United Kingdom,59.9
101,Ohio State University,United States,59.5
102,Eindhoven University of Technology,Netherlands,58.9
103,Universidad Nacional AutÛnoma de MÈxico (UNAM),Mexico,58.8
104,"University of California, Davis (UCD)",United States,58.7
104,Yonsei University,South Korea,58.7
106,The University of Adelaide,Australia,58.6
107,University of Helsinki,Finland,58.4
108,Trinity College Dublin (TCD),Ireland,58.3
108,Washington University in St. Louis,United States,58.3
110,University of Geneva,Switzerland,58.1
111,Purdue University,United States,57.8
112,Technical University of Denmark,Denmark,57.4
113,University of Alberta,Canada,57.3
114,University of Groningen,Netherlands,56.1
115,Nagoya University,Japan,55.8
116,Universidade de S„o Paulo (USP),Brazil,55.5
116,Uppsala University,Sweden,55.5
118,Leiden University,Netherlands,55.4
119,University of Oslo,Norway,54.7
