Rank in 2020,Institution Name,Country,Overall Score
1,Massachusetts Institute of Technology (MIT),United States,100
2,Stanford University,United States,98.4
3,Harvard University,United States,97.4
4,University of Oxford,United Kingdom,97.2
5,California Institute of Technology (Caltech),United States,96.9
6,ETH Zurich (Swiss Federal Institute of Technology),Switzerland,95.9
7,University of Cambridge,United Kingdom,95
8,UCL (University College London),United Kingdom,94.8
9,Imperial College London,United Kingdom,94.1
10,University of Chicago,United States,92
11,Nanyang Technological University (NTU),Singapore,91.8
11,National University of Singapore (NUS),Singapore,91.8
13,Princeton University,United States,90.9
14,Cornell University,United States,89.3
15,University of Pennsylvania,United States,88.9
16,Tsinghua University,China,88.6
17,Yale University,United States,87.7
18,Columbia University,United States,87.4
18,Ecole Polytechnique Fédérale de Lausanne (EPFL),Switzerland,87.4
20,University of Edinburgh,United Kingdom,86.2
21,University of Michigan,United States,86
22,Peking University,China,84.3
22,The University of Tokyo,Japan,84.3
24,Johns Hopkins University,United States,83.9
25,Duke University,United States,83.8
25,University of Hong Kong (HKU),Hong Kong,83.8
27,The University of Manchester,United Kingdom,82.7
28,"University of California, Berkeley (UCB)",United States,82.6
29,Australian National University (ANU),Australia,82.1
29,University of Toronto,Canada,82.1
